,bairro,cep,cidade,descricao,estado,preco,tilulo,tipo
23,Capim Macio,59082-200,Natal,"Maiores informações- WhatsApp 9,9631-2285... ver número- Xiaomi Redmi 7 Azul e Preto Lacrado - Tela 6,18 Polegadas- Câmera 12MP- - Dual chip 4G - Leitor Digital e Facial - Memória interna 64GB Ram 3GB Ram- Processador Snapdragon 632 ",Novo,1050,Xiaomi Redmi 7 64GB Versão Global Lacrados ,Iphone
24,Capim Macio,59082-200,Natal,"Maiores informações(- WhatsApp 9,9631-2285... ver número)- Xiaomi Note 7 Azul e Preto Lacrado - Tela 6,3Polegadas- Câmera 48MP- Frontal 20MP- Super Bateria 4000mAh- Dual chip 4G - Leitor Digital e Facial - Processador Snapdragon 660 ",Novo,1100,Xiaomi Note 7 32GB/64GB/128GB Lacrados ,LG
25,Candelária,59064-640,Natal,"IPhone 6 128gb dourado, aparelho conservado,funcionando perfeitamente com todos acessórios.Capa e Pelicula nova! Garantia! WHATSAPP: (84) 9981654... ver número09 para contato e melhoratendimento! (Aceitamos ligações)R$1.200,00 Aceitamos cartões com acréscimo! ",Usado,1400,IPhone 6 128gb ,Iphone
26,Capim Macio,59082-055,Natal,Aparelho original seminovo em ótimo estado deconservação e com 3 meses de garantia. Acompanhacabo e carregador originais.Tem dúvidas? Entre em contato conosco pelowhatsapp 839967532... ver número37 ou 839871344... ver número90. Tire suasdúvidas e faça uma compra segura!Aceitamos todos os cartões em até 12x (comacréscimo) ,Usado,2499,"Oferta! iPhone 7 Plus 128GB Preto fosco, seminovo, completo, garantia de 3 meses ",Iphone
27,Capim Macio,59082-200,Natal,"Maiores informações- WhatsApp 9,9631-2285... ver número- Xiaomi Mi 8 Lite Azul e Preto Lacrado - Tela 6,18 Polegadas- Câmera 20MP- Frontal 24MP- Dual chip 4G - Leitor Digital e Facial - Memória interna 64GB Ram 4GB - Processador Snapdragon 660 ",Novo,1199,Xiaomi Mi 8 Lite 64 Azul e Preto Lacrado ,Iphone
28,Lagoa Nova,59054-810,Natal,"Vendo ou troco Fone Original JBL sem fio Muitotop! Funciona perfeitamente, som de altíssimaqualidade. na caixa!Troco em Tenis, Bone ou Oculos Oakley ",Usado,150,Fone JBL Original ,Acessórios
29,Lagoa Azul,59138-606,Natal,São 85 ferrinhos. Whats:987696824... ver número,Usado,90,Suporte para Capas de celulares ,Acessórios
30,Potengi,59112-060,Natal,vendo iphone em bom estado.Acompanha capa e carregador. Bateria recentementefoi trocada carregando 100%.900 a vista 950 parcelado no Cartão ,Usado,900,Iphone 6 plus 16 G ,Iphone
31,Cidade Nova,59072-540,Natal,"pra desbloquear!, *biometria*32GB de memória*3GB de Rammenor preço jápra sair agora, tou precisando do dinheirotou sem dinheiro, pra desbloquear no alecrim é 50reais ",Usado,100,Meizu mx6 ,Outras marcas
32,Felipe Camarão,59072-170,Natal,"Biometria parou de funcionar após atualização.Fora isso, tudo OK!R$480 (Prego negociável) ",Usado,480,J7 Prime (Sem biometria) ,Samsung
34,Planalto,59073-120,Natal,Vendo Gram Prime Dourado 8GB Celular MuitoConcervado Sem Nem Um Problema Ja Com Capinha ECom Carregador Pelicula De Vidro. Pegando Tudo 2Chips Cartao SD Obs: Apenas Vendo Valor Negociavel Aceito Cartao: Com Juros Da Maquina Mais Informaçoes: Via Whatsapp 98127-7728... ver número,Usado,220,Gram Prime 8GB TV Digital ,Samsung
35,Candelária,59064-640,Natal,"IPhone 7 32gb preto, aparelho funcionandoperfeitamente com todos acessórios. Capa ePelicula nova! Garantia!WHATSAPP: (84) 9981654... ver número09 para contato e melhoratendimento! (Aceitamos ligações)R$1.600,00 Aceitamos cartões com acréscimo! ",Usado,1600,Iphone 7 32gb ,Iphone
36,Candelária,59064-640,Natal,"IPhone 6 64gb prata, aparelho conservado,funcionando perfeitamente com todos acessórios.Capa e Pelicula nova! Garantia! WHATSAPP: (84) 9981654... ver número09 para contato e melhoratendimento! (Aceitamos ligações) R$1.150,00 Aceitamos cartões com acréscimo! ",Usado,1150,IPhone 6 64gb ,Iphone
37,Lagoa Nova,59063-330,Natal,"Galaxy J7 PRIME 32 LEITO BIOMÉTRICO , pegando tudoperfeitamente .Aceito cartãoMeu Whatsaap 991855724... ver número",Novo,480,Galaxy J7 Prime 32g ,Samsung
38,Cidade da Esperança,59071-170,Natal,sem marcas de uso. acompanha só o carregador ,Usado,600,Moto g6 32 gb ,Motorola e Lenovo
39,Candelária,59064-640,Natal,"IPhone 6s 128gb Rose, aparelho conservado,funcionando perfeitamente com todos acessórios.Capa e Pelicula nova! Garantia! WHATSAPP: (84) 9981654... ver número09 para contato e melhoratendimento! (Aceitamos ligações)R$1.400,00 aceitamos cartões com acréscimo! ",Usado,1400,IPhone 6s 128gb ,Iphone
40,Pajuçara,59133-376,Natal,Aparelho.fucionando perfeitame. 250 reais.obs.sovendo. ,Usado,250,Moto g3 ,Motorola e Lenovo
41,Lagoa Nova,59063-330,Natal,J6 PLUS 32G Em estado de zero vai com carregador efone .Meu Whatsaap 991855724... ver número,Novo,580,J6 plus 32g ,Samsung
42,Candelária,59066-050,Natal,"Vendo pulseira de Apple Watch 40mm, nova, sem uso!! Aceito todos os cartões 988354240... ver número WhatsApp ",Novo,80,Pulseira Apple Watch ,Iphone
43,Lagoa Seca,59022-390,Natal,vendo A7 3232g com marcas de uso e tá sem vibrarmais informações no watts 999749686... ver número,Usado,530,A7 2017 32g Samsung ,Samsung
44,Praia do Meio,59010-085,Natal,Fone pega bluetooth AM e FM cartão de memória.carregador com luz de led.ZAP. (84) 9887239... ver número62 ,Usado,100,Fone de ouvido com carregador portátil ,Acessórios
45,Lagoa Nova,59063-330,Natal,Moto G5 32 g leito biometrico pegando tudo .Tem carregado e fone .Meu Whatsaap 991855724... ver número,Novo,370,Moto G5 32G ,Motorola e Lenovo
46,Quintas,59050-120,Natal,"Marca: XiaomiModelo: TWSEJ04LSCor: PretoCom Microfone: SimControle: TouchTipo sem fio: Bluetooth, pode conetar com doiscelulares ao mesmo tempoBluetooth: versão 5.0, conecção mais estávelAlcance sem fio: 10 mTempo de reprodução: 4 horas, 12 horas com casePeso: 4.1gTempo de carregamento: 1.5 horasLeve toque para play/pause/respostaCONTEÚDO DE PACOTE1 X Fone De Ouvido Redmi3 X Pares de borrachinha1 X Manual ",Novo,160,Fone Bluetooth 5.0 Redmi Airdots ,Acessórios
47,Lagoa Nova,59054-590,Natal,"CelularCarregador CapinhaPelículaApenas 250,00 em até 3x sem jurosDesconto para pagamento no dinheiro90 dias de garantiaWhatsapp: 98876-1185... ver número",Usado,250,Gran prime duos ,Samsung
48,Capim Macio,59080-060,Natal,Iphone 6s Prata 32gb-Todas as Operadoras (Homologado Pela Anatel)-Acompanha Capinha + Película para o Iphone GRÁTIS-Aceitamos Cartão-Valor NegociávelCelular para Contato: 998984027... ver número,Novo,1300,Iphone 6s 32GB lacrado + brindes ,Iphone
49,Nova Descoberta,59056-590,Natal,vendo LG G6 Black Trynk 32gb na caixa $790aparelho muito novo sem marcas de uso celulare prapessoa exigente mais detalhes 98860-6859... ver número tbm éwatts. ,Usado,790,LG G6 Black Trynk 32gb $790 ,LG
50,Potengi,59110-185,Natal,"Asus Zenfone 5 64GB Modelo Prata 4 meses de uso Com Nota Fiscal e tudo que vem nacaixa ( impecável ) Carregador , Manuais , Chave Asus , Capatransparente de fábrica , 2 cabos USB-C , Fones deOuvidoe acompanha um Headset Bluetooth Inova Gamer ",Usado,1390,Asus Zenfone 5 64GB Prata Nota Fiscal + Headset Gamer Bluetooth ,Asus
51,Alecrim,59040-450,Natal,"Em ótimo estado sem nenhum arranhão, pouco tempode uso, vem com carregador ",Novo,1700,Iphone 7 apenas vendo ,Iphone
52,Nossa Senhora da Apresentação,59115-593,Natal,"Aparelho extra, sem marcas de uso e sem detalhes.Funcionando tudo!Saúde da bateria em 91% (excelente estado).Acompanha caixa, acessórios originais (cabo, fontee fone de ouvido) e duas capinhas.Obs. SÓ VENDA!Whats 99950-6404... ver número",Usado,1149,IPhone 6s 16gb Rosê EXTRA ,Iphone
53,Potengi,59129-170,Natal,"Vendo IPhone 7Plus 32gb completo e com nota!R$2.300,00 ",Usado,2300,Vendo iphone 7plus completo ,Iphone
54,Cidade Alta,59025-500,Natal,Vendo Redmi 7 32gb.Usado duas semanas.Completo. Motivo da venda: Comprei um Note 7 ,Usado,650,Xioami Redmi 7 ,Samsung
55,Alecrim,59031-805,Natal,"3 a 4 Cargas Tem outras cores Branco, preto, dourado,rosa ",Novo,35,Carregador Portátil 1000mAh ,Acessórios
56,Cidade Alta,59025-500,Natal,"NOVO - LACRADO - COM NFVendo Smartphone Samsung Galaxy A50 64GB Dual ChipAndroid 9.0 Tela 6,4"" Octa-Core 4G Câmera Tripla25MP.NOVO - LACRADO - COM NF ",Novo,1350,Samsung A50 ,Samsung
57,Lagoa Nova,59054-550,Natal,"iPhone 6s 32gbGarantia Apple 09/2019Caixa, acessórios, capa, película Celular sem marcas de uso, impecável Desbloqueado, iCloud livre Biometria, ok funcionando tudo 100%Saúde da bateria 100%Tela original Dúvida? Entre em contato ",Usado,1149,IPhone 6s 32GB Anatel Garantia Apple ,Iphone
58,Quintas,59035-140,Natal,Motorola moto G7 aparelho completo com apenas 4meses de uso 64GB OBS: sofreu uma queda e trincou a parte de trásporém não interfere em Nada ,Usado,850,Celular ,Motorola e Lenovo
59,Alecrim,59040-130,Natal,"Aparelho em ótimas condições. Funciona tudo.Apenas uma marca na parte traseira, como mostra afoto.Estudo troca em aparelhos equivalentesTenho caixa e nota fiscal do aparelho ",Usado,1300,Galaxy S8 ,Samsung
60,Lagoa Azul,59138-880,Natal,"fone, carregador tudo completo ",Novo,600,"Vendo moto g7 play, funcionando perfeitamente nenhum defeito só 5 meses de uso ",Motorola e Lenovo
61,Lagoa Nova,59054-380,Natal,"Vendo j2 core novinho, 3 meses de uso ",Usado,400,J2 core ,Samsung
62,Neópolis,59086-000,Natal,"Relógio Galaxy Watch Active Rosé.Novo com caixa, nota fiscal, carregador e pulseiraextra para adaptar ao braço de cada um.Compatível com Android e dispositivos da Apple.Conecte ao seu Smartphone e tenha inúmerasfuncionalidades ",Novo,750,Relógio Galaxy Watch Active Rosé NOVO ,Samsung
63,Redinha,59122-210,Natal,celular positivo com display quebrado comassessórios e nota de compra ,Usado,40,Celular quebrado com assessóriosR$ 40 ,Outras marcas
64,Potengi,59124-200,Natal,"vendo iphone 5s cinza espacial, aparelhofuncionando perfeitamente, sem trincos , biometriaok, bateria ok, aparelho em ótimo estado deconservação, não troco, apenas vendo contatoAnderson 988465441... ver número",Usado,420,Iphone 5s ,Iphone
66,Dix Sept Rosado,59052-061,Natal,"iPhone 5S 16GB, marcas de uso. acompanhacarregador, iCloud em meu nome, entrego formatado ",Usado,500,IPhone 5S 16GB ,Iphone
67,Capim Macio,59078-070,Natal,semi novo nao está carregando Não está segurando a carga ,Usado,600,IPhone 6s gold 64gb (ver descrição ) ,Iphone
68,Alecrim,59037-400,Natal,"iPhone 6s 32GB Extra , sem marcas de uso , Bateriadando 99% de saúde , Acompanha Carregador e fonede ouvido , aceito todos os cartões em até 12x coma taxa da maquinetas de acordo com a parcela ,Temos outros aparelho disponível , 6 , 6s ,7 ,7plus , 8 , 8plus , X , Xs , XR , XS MAX , Maisinformações WhatsApp (84)9986857... ver número99 ",Usado,1249,IPhone 6s 32GB ,Iphone
69,Cidade Alta,59025-250,Natal,Q6+ Aparelho novo na caixa (Lacrado ainda)preço negociável ,Novo,850,Venda ,LG
70,Pajuçara,59123-305,Natal,"troco por moto g do mesmo top 32 gigas de memóriainterna 4 de RAM cor gold, com garregador na caixacom nota 11 meses ainda no seguro ",Novo,600,Asus zenfone live L1 ,Asus
71,Lagoa Nova,59064-368,Natal,Lacrado ,Novo,3099,IPhone 8 64gb ,Iphone
72,Mãe Luiza,59014-220,Natal,Troco iPhone 6s 32g acompanhar só carregadoobs:ele n está pegando chip fora isso tudofunciona ok ,Usado,600,IPhone 6s ,Iphone
73,Lagoa Nova,59078-970,Natal,"tablet 7"" novo ",Novo,215,"Tablet 7"" dz7bt ",Outras marcas
75,Alecrim,59031-450,Natal,Moto g6play super novo 32gigs com biométria apartir de 700 reais Qlquer interesse chamar no zap981604013... ver número,Usado,700,Celular ,Motorola e Lenovo
76,Barro Vermelho,59030-700,Natal,"Xiaomi Redmi 7 32gb lacrado, tela 6.26 HD,acompanha capa zeroAvista: 850,00Aceito cartão crédito até 12x com acréscimo (84) 99623-2901... ver número WhatsApp ",Novo,850,Redmi 7 32gb Zero na caixa ,Outras marcas
77,Alecrim,59037-250,Natal,"Leve trinco, 16gigas WhatsApp 987983438... ver número",Usado,150,Moto E2 ,Motorola e Lenovo
78,Pajuçara,59133-300,Natal,vendo moto Z2 play 64 gigas 4 giga de RAM bemconservado acompanha carregador turbo Poweroriginal e esnep JBL original valor 850 no cartãoe avista 800 qualquer coisa WhatsApp 987113818... ver número,Usado,850,Vendo moto z2 play acompanha carregador e esnep jbl ,Motorola e Lenovo
79,Lagoa Azul,59135-000,Natal,"Só vendo, não troco!Apenas o celular e o carregador.Aparelho de 16g.Preço negociável ",Usado,380,Iphone 5s ,Iphone
80,Alecrim,59031-150,Natal,Vendo celular A8 64g 4 ram ,Usado,900,Vendo celular A8 64g 4 ram ,Samsung
81,Cidade da Esperança,59071-600,Natal,Sem muito detalhes! ,Usado,900,Vendo iPhone 6s 16gb ,Iphone
82,Pajuçara,59123-260,Natal,em perfeito estado8gb de memória ,Usado,170,Moto G1 ,Motorola e Lenovo
83,Lagoa Nova,59075-015,Natal,Pra retirada de peças ,Usado,150,IPhone 4 leia a descrição ,Iphone
84,Ponta Negra,59091-130,Natal,vendo esse Samsung Galaxy A30 de cor preta comprado a 1 mês todos os acessóriossem nenhum risco ou arranhõesem estado de loja já com película de vidro aplicada + capa+ cartãode 32gbnota fiscalinteressadosfalar com Leandro no chat ou pelo WhatsApp99688 8483... ver número,Novo,1200,Samsung Galaxy A30 ,Samsung
85,Igapó,59104-270,Natal,j8 64gb.4 de RAM sem novo completocaixa.carregador.fone.documemto.vemdo ou troco sóligar ou wats 987837966... ver número,Usado,850,Samsung j8 sem novo 64gb.4 de RAM completo vendo ou troco só ligar ou wats 987837966 ,Samsung
86,Neópolis,59086-530,Natal,"Samsung Galaxy s10e 128GB - Preto, Completo + Notafiscal da Samsung. Aparelho com 3 meses decomprado, Estado de Zero!!!Analiso trocas em s10 plus, s9 plus, Note 9,Huawei Mate 20 Pro, P20 Pro, iPhone X, Xs Max,IPhone 8, 7 Plus, Xr, Xiaomi Mi 8, Oneplus 6t,Redmi Mi Mix 3!! ",Novo,2650,"Galaxy s10e 128GB - Preto, Completo + Nota fiscal ",Samsung
87,Ponta Negra,59091-130,Natal,vendo esse Galaxy A30 de cor pretaum mês de compradotodos os acessórios completocom nota fiscal4 gb de ram64 GB interno + cartão de 32gb motivo de venda precisando de dinheiro.falar no chat ou WhatsApp 9 9688 8483... ver númerofalar com Leandro ,Novo,1200,Galaxy A30 1 mês de uso ,Samsung
88,Capim Macio,59082-055,Natal,Aparelho original seminovo em ótimo estado deconservação e com 3 meses de garantia. Acompanhacabo e carregador originais.Tem dúvidas? Entre em contato conosco pelowhatsapp 8399. ver número37 ou 8398. ver número90.Tire suas dúvidas e faça uma compra segura!Aceitamos todos os cartões em até 12x (comacréscimo) ,Usado,2099,"Oferta! iPhone 7 256GB Prata, Preto fosco e Dourado, seminovos + garantia de 3 meses ",Iphone
89,Alecrim,59040-030,Natal,iPhone 6s gold 16 gbAcompanha carregador Funcionando 100%!Apenas venda! ,Usado,1000,IPhone 6s gold 16gb ,Iphone
90,Neópolis,59080-530,Natal,Aparelho funcionando tudo perfeitamente! ,Usado,1300,Iphone 6s 64GB ,Iphone
91,Neópolis,59086-005,Natal,Moto z2 play Funciona tudoVem cajxa e carregadorAceito iPhone como troco ,Novo,850,Moto z2 play 64 ,Motorola e Lenovo
92,Nossa Senhora De Nazaré,59060-520,Natal,Iphone 7 jetblack Com caixa e todos acessórios ,Usado,1650,IPhone 7 128gb ,Iphone
93,Nossa Senhora da Apresentação,59115-551,Natal,tem caixa capa e carregador e película aceitotodos tipo de cartões zap (987063255... ver número) ,Usado,720,J7 pro 64 gigas ,Samsung
94,Capim Macio,59082-055,Natal,Aparelho original seminovo em ótimo estado deconservação e com garantia até 03/20. Acompanhafone e carregador originais.Tem dúvidas? Entre em contato conosco pelowhatsapp 8399. ver número37 ou 8398. ver número90.Tire suas dúvidas e faça uma compra segura!Aceitamos todos os cartões em até 12x (comacréscimo) ,Usado,5149,"IPhone XS 256GB Dourado, seminovo estado de zero, completo, garantia Apple março de 2020 ",Iphone
95,Nossa Senhora da Apresentação,59115-687,Natal,"VENDO OU TROCOcelular ta funcionando tudo perfeitamente,todooriginal.whatsapp 99198-0666... ver número",Usado,800,Moto Z2 Play 64 Gigas /4 Gigas Ram ,Motorola e Lenovo
96,Planalto,59073-170,Natal,"Novinhovai na caixanão vai carregador e fone de ouvido, já dei osdescontos deles no valor do celular.Esse valor já é menor preço ",Usado,450,Moto g5s ACEITO CARTÃO ,Motorola e Lenovo
97,Redinha,59122-400,Natal,32 GB de memória.Tá na garantia e no seguro ,Usado,800,J4 plus com seguro ,Samsung
98,Lagoa Azul,59129-750,Natal,Celular j2 prime 16giga em perfeito estado ,Novo,309,J2 prime 16 giga ,Samsung
99,Neópolis,59088-380,Natal,"Asus Zenfone live. aparelho com ótima durabilidadede bateria, memória de 16 câmera traseira de 13mega pixels frontal de 8 com flash ",Usado,390,Vendo Asus zenfone live troco em iphone 5c ou 5 ,Asus
100,Potengi,59124-400,Natal,vendo poquet tv digital apenas com a tecla devolta sem funcionar mais pode usar app chama nozap 88454337 ,Usado,70,Poquet ,Samsung
101,Lagoa Nova,59054-840,Natal,Apenas vendaWhatsapp 988721929... ver número,Usado,850,Samsung Galaxy S7 ,Samsung
102,Felipe Camarão,59074-145,Natal,"Vendo J5 prime novo sem marcas de uso, funcionandotudo perfeitamente sem nenhum tipo de defeito nemtrinco nem arranhão na tela.OBS: SÓ VENDO ",Usado,480,Vendo J5 Prime ,Samsung
103,Capim Macio,59082-055,Natal,Aparelho original seminovo em ótimo estado deconservação e com 3 meses de garantia. Acompanhafone e carregador originais.Tem dúvidas? Entre em contato conosco pelowhatsapp 839967532... ver número37 ou 839871344... ver número90. Tire suasdúvidas e faça uma compra segura!Aceitamos todos os cartões em até 12x (comacréscimo) ,Usado,1999,"Oferta!! iPhone 7 128GB dourado, preto fosco e preto brilhante, funcionamento 100% ",Iphone
104,Pajuçara,59133-113,Natal,Troco ou vendo funcionando tudo tá com capinha epelícula incloud no meu nome carregado originalfala chat ou zap 998590391... ver número obs.16gb ,Usado,420,IPhone 5 top ,Iphone
105,Cidade da Esperança,59071-380,Natal,Troco ou vendo ,Usado,300,IPhone ,Iphone
106,Nossa Senhora da Apresentação,59114-350,Natal,vendo ou troco em pc com configurações rasuaveis.iPhone 5 16gbna cor preta icloud no meu nome.trincos e marcas de uso mais uso normalmente.whats 998376951... ver número,Usado,300,V/t iPhone 5 ,Iphone
107,Pitimbu,59067-340,Natal,"Motorola Moto G7 Power Azul Navy XT1955 32GB, Telade 6,2"", Bateria de 5.000 mhamp, TV digital naCaixa com acessórios e garantia até 13/04/2020.Vai com Nota Fiscal emitida pela loja C&A doMidway no valor de R$ 1.299,00Whatsapp (84) 98706-6634... ver número",Novo,900,Moto G7 Power Novo Nota Fiscal ,Motorola e Lenovo
108,Tirol,59020-240,Natal,apple watch serie 3 com 02 pulseiras em estado denovo ,Usado,1250,Apple watch ,Acessórios
109,Capim Macio,59078-220,Natal,"Celular usado, mas bem conservado. Já vem compelícula e capa. Inclui a caixa e acessóriosoriginais.Aparelho ideal pra quem gosta de assistir vídeos eler no celular e quer uma bateria bastantedurável.Tela: 6.44 polegadasProcessador: Snapdragon 625Memória RAM: 4GBArmazenamento: 64GBBateria: 5300 mAhMais especificações aqui:**br.gearbest**/cell-phones/pp_684710.html ",Usado,950,"Xiaomi Mi Max 2 4gb/64gb | Tela 6,44 polegadas | Bateria 5300 mAh ",Outras marcas
110,Candelária,59067-000,Natal,"Celular novo, lacrado na caixa.Apenas venda.Disponível unicamente na cor azul com 3gb de Ram e64gb de armazenamento.Ótimo telefone, rei do custo benefício, snapdragon632 + 4000 mAh de bateria + infra vermelhoAceito cartões, podendo dividir em até 12x comacréscimos (consultar taxas).Tenho também:Mi 8 lite Azul 4/64 Gb Azul por 1199Redmi Note 7 4/64Gb Azul por 1199Redmi Note 7 4/128GB por 1379Entregas de preferência na Zona Sul de Natal ",Novo,999,Redmi 7 3 / 64 Gb Azul ,Outras marcas
111,Nossa Senhora da Apresentação,59114-210,Natal,Gold bateria boa biometria ok todo ok motivo davenda compra outro não tem caixa nota ,Usado,900,Vendo iPhone 6 64GB ,Iphone
112,Candelária,59067-000,Natal,"Celular novo, lacrado na caixa.Apenas venda.Disponível unicamente na cor azul com 4gb de Ram e64gb de armazenamento.Ótimo telefone, rei do custo benefício, snapdragon660 + 3300mAh de bateria + infra vermelhoAceito cartões, no entanto o valor sobe, parareferência em 3x fica 456,43 em 6x 236,42 em 9x162,78 12x 125,73Tenho também:Redmi 7 3/64gb Azul por 999.Redmi Note 7 4/64Gb Azul por 1199Redmi Note 7 4/128GB por 1379Entregas de preferência na Zona Sul de Natal ",Novo,1199,Xiaomi MI 8 Lite 4 / 64 Gb Azul Lacrado ,Outras marcas
113,Nossa Senhora De Nazaré,59060-300,Natal,"Liga, mas trava e volta a reiniciar e fica nisso ",Usado,50,Positivo Selfie ,Outras marcas
114,Alecrim,59037-504,Natal,"Apenas 2 peças, garanta já o seu.WHATSAPP 9 8794 5045... ver númeroSmartwatch ""A prova d'água"" com tela ips de 1.3""com:_Contador de passos. _Contador de Calorias. _Distância Percorrida. _Monitoramento de Sono. _Notificação de Mensagens. _Notificação de Chamadas. _Alarme. _Cronômetro _Previsão Do Tempo_Controle pra tirar foto com o celular _Controle o player de música através do relógio! _Mede Pressão Arterial, Batimentos Cardíacos eNível de Oxigênio No Sangue!_E ainda possui 8 exercícios pre estabelecidospara q vc possa ter um controle melhor de suasatividades tais como:_Caminhada / Corrida / Ciclismo / Pular Corda /Badminton / Basquete / Futebol e Natação! ",Novo,249,Smartwatch alpha ,Iphone
115,Planalto,59073-090,Natal,Galaxy Watch Active ,Novo,1150,Galaxy Watch Active ,Samsung
116,Lagoa Seca,59032-180,Natal,"Celular Moto G4 TV( não é PLUS e nem PLAY)  Parou de ligar depois de um tempo guardado ótimopara retirar as peças - tudo funcionando tela,alto falante, bateria, cameras Ótimas condições de uso  Aceito PropostasWHATSAPP 849871750... ver número20 ",Usado,300,Moto g4 com defeito ,Motorola e Lenovo
